STATE,HCODE,YEAR,MONTH,PIF,Reported Count
ALABAMA,HO-W,2011,1,"273,086","1,468"
ALABAMA,HO-W,2011,2,"272,871","2,868"
ALABAMA,HO-W,2011,3,"272,781","5,117"
ALABAMA,HO-W,2011,4,"272,771","6,955"
ALABAMA,HO-W,2011,5,"272,992","8,227"
ALABAMA,HO-W,2011,6,"272,770","10,324"
ALABAMA,HO-W,2011,7,"272,600","12,524"
ALABAMA,HO-W,2011,8,"272,709","15,007"
ALABAMA,HO-W,2011,9,"272,646","16,679"
ALABAMA,HO-W,2011,10,"272,702","17,980"
ALABAMA,HO-W,2011,11,"272,690","19,406"
ALABAMA,HO-W,2011,12,"273,371","20,795"
ALABAMA,HO-W,2012,1,"273,867","1,529"
ALABAMA,HO-W,2012,2,"274,667","2,698"
ALABAMA,HO-W,2012,3,"275,665","3,925"
ALABAMA,HO-W,2012,4,"276,478","5,405"
ALABAMA,HO-W,2012,5,"277,326","7,100"
ALABAMA,HO-W,2012,6,"278,035","9,027"
ALABAMA,HO-W,2012,7,"278,240","11,219"
ALABAMA,HO-W,2012,8,"278,987","13,714"
ALABAMA,HO-W,2012,9,"279,206","15,468"
ALABAMA,HO-W,2012,10,"279,320","17,253"
ALABAMA,HO-W,2012,11,"279,313","18,533"
ALABAMA,HO-W,2012,12,"279,373","19,868"
ALABAMA,HO-W,2013,1,"279,453","1,848"
ALABAMA,HO-W,2013,2,"279,768","3,822"
ALABAMA,HO-W,2013,3,"280,255","5,496"
ALABAMA,HO-W,2013,4,"280,601","7,126"
ALABAMA,HO-W,2013,5,"281,030","8,571"
ALABAMA,HO-W,2013,6,"281,318","10,070"
ALABAMA,HO-W,2013,7,"281,434","11,996"
ALABAMA,HO-W,2013,8,"281,564","13,908"
ALABAMA,HO-W,2013,9,"281,762","15,349"
ALABAMA,HO-W,2013,10,"282,041","16,735"
ALABAMA,HO-W,2013,11,"282,222","17,733"
ALABAMA,HO-W,2013,12,"282,003","19,002"
ALABAMA,HO-W,2014,1,"282,108","1,366"
ALABAMA,HO-W,2014,2,"282,470","3,037"
ALABAMA,HO-W,2014,3,"282,765","4,449"
ALABAMA,HO-W,2014,4,"283,204","6,266"
ALABAMA,HO-W,2014,5,"283,422","7,520"
ALABAMA,HO-W,2014,6,"283,540","9,308"
ALABAMA,HO-W,2014,7,"283,745","10,816"
ALABAMA,HO-W,2014,8,"283,821","12,288"
ALABAMA,HO-W,2014,9,"283,737","13,683"
ALABAMA,HO-W,2014,10,"283,681","15,365"
ALABAMA,HO-W,2014,11,"283,662","16,485"
ALABAMA,HO-W,2014,12,"283,425","17,768"
ALABAMA,HO-W,2015,1,"283,333","1,490"
ALABAMA,HO-W,2015,2,"283,227","2,591"
ALABAMA,HO-W,2015,3,"282,983","4,005"
ALABAMA,HO-W,2015,4,"282,794","5,678"
ALABAMA,HO-W,2015,5,"282,717","7,022"
ALABAMA,HO-W,2015,6,"282,452","8,892"
ALABAMA,HO-W,2015,7,"282,428","11,360"
ALABAMA,HO-W,2015,8,"282,331","13,332"
ALABAMA,HO-W,2015,9,"282,008","14,453"
ALASKA,HO-W,2011,1,"41,585",188
ALASKA,HO-W,2011,2,"41,654",320
ALASKA,HO-W,2011,3,"41,716",478
ALASKA,HO-W,2011,4,"41,795",618
ALASKA,HO-W,2011,5,"41,841",739
ALASKA,HO-W,2011,6,"41,970",856
ALASKA,HO-W,2011,7,"41,981",958
ALASKA,HO-W,2011,8,"42,030","1,080"
ALASKA,HO-W,2011,9,"42,056","1,204"
ALASKA,HO-W,2011,10,"42,120","1,307"
ALASKA,HO-W,2011,11,"42,194","1,435"
ALASKA,HO-W,2011,12,"42,322","1,721"
ALASKA,HO-W,2012,1,"42,349",209
ALASKA,HO-W,2012,2,"42,400",503
ALASKA,HO-W,2012,3,"42,489",679
ALASKA,HO-W,2012,4,"42,529",912
ALASKA,HO-W,2012,5,"42,623","1,112"
ALASKA,HO-W,2012,6,"42,730","1,238"
ALASKA,HO-W,2012,7,"42,754","1,369"
ALASKA,HO-W,2012,8,"42,791","1,518"
ALASKA,HO-W,2012,9,"42,848","1,730"
ALASKA,HO-W,2012,10,"42,935","1,905"
ALASKA,HO-W,2012,11,"43,035","2,046"
ALASKA,HO-W,2012,12,"43,166","2,185"
ALASKA,HO-W,2013,1,"43,254",148
ALASKA,HO-W,2013,2,"43,316",264
ALASKA,HO-W,2013,3,"43,395",385
ALASKA,HO-W,2013,4,"43,513",508
ALASKA,HO-W,2013,5,"43,582",652
ALASKA,HO-W,2013,6,"43,644",771
ALASKA,HO-W,2013,7,"43,843",942
ALASKA,HO-W,2013,8,"43,929","1,084"
ALASKA,HO-W,2013,9,"43,990","1,206"
ALASKA,HO-W,2013,10,"44,032","1,334"
ALASKA,HO-W,2013,11,"44,115","1,453"
ALASKA,HO-W,2013,12,"44,147","1,586"
ALASKA,HO-W,2014,1,"44,228",135
ALASKA,HO-W,2014,2,"44,299",253
ALASKA,HO-W,2014,3,"44,345",358
ALASKA,HO-W,2014,4,"44,447",481
ALASKA,HO-W,2014,5,"44,569",603
ALASKA,HO-W,2014,6,"44,716",712
ALASKA,HO-W,2014,7,"44,832",850
ALASKA,HO-W,2014,8,"44,921",978
ALASKA,HO-W,2014,9,"44,948","1,074"
ALASKA,HO-W,2014,10,"45,032","1,171"
ALASKA,HO-W,2014,11,"45,075","1,238"
ALASKA,HO-W,2014,12,"45,180","1,335"
ALASKA,HO-W,2015,1,"45,243",114
ALASKA,HO-W,2015,2,"45,277",240
ALASKA,HO-W,2015,3,"45,368",336
ALASKA,HO-W,2015,4,"45,448",449
ALASKA,HO-W,2015,5,"45,534",563
ALASKA,HO-W,2015,6,"45,690",694
ALASKA,HO-W,2015,7,"45,853",812
ALASKA,HO-W,2015,8,"45,887",907
ALASKA,HO-W,2015,9,"46,049","1,033"
ARIZONA,HO-W,2011,1,"288,370","1,764"
ARIZONA,HO-W,2011,2,"288,083","2,947"
ARIZONA,HO-W,2011,3,"288,346","4,178"
ARIZONA,HO-W,2011,4,"288,242","5,280"
ARIZONA,HO-W,2011,5,"288,026","6,408"
ARIZONA,HO-W,2011,6,"287,770","7,897"
ARIZONA,HO-W,2011,7,"287,577","9,565"
ARIZONA,HO-W,2011,8,"287,030","11,629"
ARIZONA,HO-W,2011,9,"286,665","13,468"
ARIZONA,HO-W,2011,10,"286,112","14,909"
ARIZONA,HO-W,2011,11,"285,893","16,266"
ARIZONA,HO-W,2011,12,"286,292","17,577"
ARIZONA,HO-W,2012,1,"285,606","1,361"
ARIZONA,HO-W,2012,2,"285,647","2,567"
ARIZONA,HO-W,2012,3,"285,903","3,733"
ARIZONA,HO-W,2012,4,"285,573","4,872"
ARIZONA,HO-W,2012,5,"285,644","6,119"
ARIZONA,HO-W,2012,6,"285,104","7,214"
ARIZONA,HO-W,2012,7,"284,746","8,970"
ARIZONA,HO-W,2012,8,"285,071","10,999"
ARIZONA,HO-W,2012,9,"284,776","12,521"
ARIZONA,HO-W,2012,10,"284,853","13,837"
ARIZONA,HO-W,2012,11,"284,508","14,874"
ARIZONA,HO-W,2012,12,"284,646","16,017"
ARIZONA,HO-W,2013,1,"284,721","1,287"
ARIZONA,HO-W,2013,2,"285,005","2,442"
ARIZONA,HO-W,2013,3,"285,470","3,599"
ARIZONA,HO-W,2013,4,"286,191","4,919"
ARIZONA,HO-W,2013,5,"286,737","6,032"
ARIZONA,HO-W,2013,6,"286,890","6,970"
ARIZONA,HO-W,2013,7,"286,874","9,095"
ARIZONA,HO-W,2013,8,"286,232","10,719"
ARIZONA,HO-W,2013,9,"285,623","12,183"
ARIZONA,HO-W,2013,10,"286,019","13,300"
ARIZONA,HO-W,2013,11,"285,895","14,424"
ARIZONA,HO-W,2013,12,"285,935","15,558"
ARIZONA,HO-W,2014,1,"285,608","1,018"
ARIZONA,HO-W,2014,2,"285,535","1,772"
ARIZONA,HO-W,2014,3,"285,298","2,809"
ARIZONA,HO-W,2014,4,"285,335","3,674"
ARIZONA,HO-W,2014,5,"285,054","4,544"
ARIZONA,HO-W,2014,6,"284,870","5,457"
ARIZONA,HO-W,2014,7,"284,914","7,207"
ARIZONA,HO-W,2014,8,"284,601","8,838"
ARIZONA,HO-W,2014,9,"284,442","9,979"
ARIZONA,HO-W,2014,10,"284,322","10,952"
ARIZONA,HO-W,2014,11,"284,260","11,647"
ARIZONA,HO-W,2014,12,"284,271","12,593"
ARIZONA,HO-W,2015,1,"284,130",864
ARIZONA,HO-W,2015,2,"283,941","1,746"
ARIZONA,HO-W,2015,3,"283,881","2,642"
ARIZONA,HO-W,2015,4,"284,069","3,440"
ARIZONA,HO-W,2015,5,"284,201","4,285"
ARIZONA,HO-W,2015,6,"284,249","5,278"
ARIZONA,HO-W,2015,7,"284,175","6,429"
ARIZONA,HO-W,2015,8,"283,881","7,825"
ARIZONA,HO-W,2015,9,"283,997","9,331"
ARKANSAS,HO-W,2011,1,"126,624",542
ARKANSAS,HO-W,2011,2,"126,604","1,446"
ARKANSAS,HO-W,2011,3,"126,528","3,251"
ARKANSAS,HO-W,2011,4,"126,512","4,076"
ARKANSAS,HO-W,2011,5,"126,489","5,571"
ARKANSAS,HO-W,2011,6,"126,624","7,202"
ARKANSAS,HO-W,2011,7,"126,583","8,341"
ARKANSAS,HO-W,2011,8,"126,446","9,879"
ARKANSAS,HO-W,2011,9,"126,305","10,888"
ARKANSAS,HO-W,2011,10,"126,262","11,704"
ARKANSAS,HO-W,2011,11,"126,262","12,506"
ARKANSAS,HO-W,2011,12,"126,238","12,420"
ARKANSAS,HO-W,2012,1,"126,142",747
ARKANSAS,HO-W,2012,2,"126,143","1,507"
ARKANSAS,HO-W,2012,3,"126,178","2,473"
ARKANSAS,HO-W,2012,4,"126,253","3,467"
ARKANSAS,HO-W,2012,5,"126,358","4,285"
ARKANSAS,HO-W,2012,6,"126,500","5,292"
ARKANSAS,HO-W,2012,7,"126,648","6,420"
ARKANSAS,HO-W,2012,8,"127,000","7,654"
ARKANSAS,HO-W,2012,9,"127,116","8,571"
ARKANSAS,HO-W,2012,10,"127,439","9,472"
ARKANSAS,HO-W,2012,11,"127,752","10,100"
ARKANSAS,HO-W,2012,12,"128,057","11,481"
ARKANSAS,HO-W,2013,1,"128,312",569
ARKANSAS,HO-W,2013,2,"128,604","1,421"
ARKANSAS,HO-W,2013,3,"129,093","2,189"
ARKANSAS,HO-W,2013,4,"129,601","3,138"
ARKANSAS,HO-W,2013,5,"130,072","4,297"
ARKANSAS,HO-W,2013,6,"130,596","5,322"
ARKANSAS,HO-W,2013,7,"131,173","6,270"
ARKANSAS,HO-W,2013,8,"131,593","7,296"
ARKANSAS,HO-W,2013,9,"132,032","8,056"
ARKANSAS,HO-W,2013,10,"132,456","8,751"
ARKANSAS,HO-W,2013,11,"132,730","9,252"
ARKANSAS,HO-W,2013,12,"133,106","10,364"
ARKANSAS,HO-W,2014,1,"133,542","1,378"
ARKANSAS,HO-W,2014,2,"133,890","2,163"
ARKANSAS,HO-W,2014,3,"134,176","3,250"
ARKANSAS,HO-W,2014,4,"134,594","4,545"
ARKANSAS,HO-W,2014,5,"135,051","5,368"
ARKANSAS,HO-W,2014,6,"135,481","6,192"
ARKANSAS,HO-W,2014,7,"135,809","7,154"
ARKANSAS,HO-W,2014,8,"136,254","7,890"
ARKANSAS,HO-W,2014,9,"136,560","8,611"
ARKANSAS,HO-W,2014,10,"136,907","9,786"
ARKANSAS,HO-W,2014,11,"137,096","10,352"
ARKANSAS,HO-W,2014,12,"137,402","10,980"
ARKANSAS,HO-W,2015,1,"137,663",692
ARKANSAS,HO-W,2015,2,"137,826","1,262"
ARKANSAS,HO-W,2015,3,"138,036","2,184"
ARKANSAS,HO-W,2015,4,"138,335","3,578"
ARKANSAS,HO-W,2015,5,"138,567","4,747"
ARKANSAS,HO-W,2015,6,"138,808","5,522"
ARKANSAS,HO-W,2015,7,"138,994","6,648"
ARKANSAS,HO-W,2015,8,"139,165","7,562"
ARKANSAS,HO-W,2015,9,"139,368","8,023"
CALIFORNIA ALL,HO-W,2011,1,"1,101,759","4,906"
CALIFORNIA ALL,HO-W,2011,2,"1,101,235","8,988"
CALIFORNIA ALL,HO-W,2011,3,"1,101,056","14,035"
CALIFORNIA ALL,HO-W,2011,4,"1,100,610","18,586"
CALIFORNIA ALL,HO-W,2011,5,"1,099,544","22,400"
CALIFORNIA ALL,HO-W,2011,6,"1,098,905","26,850"
CALIFORNIA ALL,HO-W,2011,7,"1,097,810","31,241"
CALIFORNIA ALL,HO-W,2011,8,"1,097,304","36,210"
CALIFORNIA ALL,HO-W,2011,9,"1,096,569","40,965"
CALIFORNIA ALL,HO-W,2011,10,"1,095,709","45,359"
CALIFORNIA ALL,HO-W,2011,11,"1,094,840","49,805"
CALIFORNIA ALL,HO-W,2011,12,"1,095,292","54,575"
CALIFORNIA ALL,HO-W,2012,1,"1,094,728","5,098"
CALIFORNIA ALL,HO-W,2012,2,"1,094,660","9,467"
CALIFORNIA ALL,HO-W,2012,3,"1,094,403","14,232"
CALIFORNIA ALL,HO-W,2012,4,"1,094,155","19,308"
CALIFORNIA ALL,HO-W,2012,5,"1,093,837","24,090"
CALIFORNIA ALL,HO-W,2012,6,"1,093,109","28,264"
CALIFORNIA ALL,HO-W,2012,7,"1,092,854","32,996"
CALIFORNIA ALL,HO-W,2012,8,"1,091,966","38,046"
CALIFORNIA ALL,HO-W,2012,9,"1,092,120","42,481"
CALIFORNIA ALL,HO-W,2012,10,"1,092,721","47,408"
CALIFORNIA ALL,HO-W,2012,11,"1,092,684","51,771"
CALIFORNIA ALL,HO-W,2012,12,"1,092,480","56,521"
CALIFORNIA ALL,HO-W,2013,1,"1,092,297","5,783"
CALIFORNIA ALL,HO-W,2013,2,"1,092,186","9,768"
CALIFORNIA ALL,HO-W,2013,3,"1,092,950","14,135"
CALIFORNIA ALL,HO-W,2013,4,"1,093,113","18,832"
CALIFORNIA ALL,HO-W,2013,5,"1,095,270","23,571"
CALIFORNIA ALL,HO-W,2013,6,"1,098,060","27,725"
